"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","AG","HMC","5","10","2","μ[2]","r_hat","1.0106227803029841"
"GMM","AG","HMC","5","10","8","w[1]","ess","44.70778740082942"
"GMM","AG","HMC","5","10","8","w[1]","r_hat","1.0130767121486883"
"GMM","AG","HMC","5","10","8","w[2]","ess","44.70778740082944"
"GMM","AG","HMC","5","10","8","w[2]","r_hat","1.013076712148688"
"GMM","AG","HMC","5","10","8","z[1]","ess","48.02188620333485"
"GMM","AG","HMC","5","10","8","z[1]","r_hat","1.0148097361635227"
"GMM","AG","HMC","5","10","8","z[2]","ess","48.71894519466404"
"GMM","AG","HMC","5","10","8","z[2]","r_hat","1.0098054856795555"
"GMM","AG","HMC","5","10","8","z[3]","ess","50.09259633116371"
"GMM","AG","HMC","5","10","8","z[3]","r_hat","1.0114399117503248"
"GMM","AG","HMC","5","10","8","z[4]","ess","46.818727427641825"
"GMM","AG","HMC","5","10","8","z[4]","r_hat","1.0137068161719611"
"GMM","AG","HMC","5","10","8","z[5]","ess","53.505356837087106"
"GMM","AG","HMC","5","10","8","z[5]","r_hat","1.0160655432794"
"GMM","AG","HMC","5","10","8","z[6]","ess","46.94916869588525"
"GMM","AG","HMC","5","10","8","z[6]","r_hat","1.0128866181654665"
"GMM","AG","HMC","5","10","8","z[7]","ess","51.379135238760036"
"GMM","AG","HMC","5","10","8","z[7]","r_hat","1.0087153564783717"
"GMM","AG","HMC","5","10","8","z[8]","ess","48.345556430113035"
"GMM","AG","HMC","5","10","8","z[8]","r_hat","1.0121070905823306"
"GMM","AG","HMC","5","10","8","z[9]","ess","50.80725594884971"
"GMM","AG","HMC","5","10","8","z[9]","r_hat","1.0088622804032463"
"GMM","AG","HMC","5","10","8","z[10]","ess","52.34560850674823"
"GMM","AG","HMC","5","10","8","z[10]","r_hat","1.0106400978381505"
"GMM","AG","HMC","5","10","8","μ[1]","ess","40.89633981493524"
"GMM","AG","HMC","5","10","8","μ[1]","r_hat","1.0761259420187879"
"GMM","AG","HMC","5","10","8","μ[2]","ess","43.73627126213911"
"GMM","AG","HMC","5","10","8","μ[2]","r_hat","0.9998949902249732"
"GMM","AG","HMC","5","10","6","w[1]","ess","37.86850666712328"
"GMM","AG","HMC","5","10","6","w[1]","r_hat","1.0383550792208764"
"GMM","AG","HMC","5","10","6","w[2]","ess","37.86850666712328"
"GMM","AG","HMC","5","10","6","w[2]","r_hat","1.0383550792208764"
"GMM","AG","HMC","5","10","6","z[1]","ess","46.74153398651526"
"GMM","AG","HMC","5","10","6","z[1]","r_hat","1.0307313267553053"
"GMM","AG","HMC","5","10","6","z[2]","ess","43.678918215732935"
"GMM","AG","HMC","5","10","6","z[2]","r_hat","1.031254111148373"
"GMM","AG","HMC","5","10","6","z[3]","ess","42.36789989792766"
"GMM","AG","HMC","5","10","6","z[3]","r_hat","1.0309345233454184"
"GMM","AG","HMC","5","10","6","z[4]","ess","47.10182017717321"
"GMM","AG","HMC","5","10","6","z[4]","r_hat","1.0301052624537061"
"GMM","AG","HMC","5","10","6","z[5]","ess","58.615992294402204"
"GMM","AG","HMC","5","10","6","z[5]","r_hat","1.0266288751829287"
"GMM","AG","HMC","5","10","6","z[6]","ess","44.57121339602495"
"GMM","AG","HMC","5","10","6","z[6]","r_hat","1.0307624913003128"
"GMM","AG","HMC","5","10","6","z[7]","ess","40.30949322420816"
"GMM","AG","HMC","5","10","6","z[7]","r_hat","1.0333872411999119"
"GMM","AG","HMC","5","10","6","z[8]","ess","42.80889026682905"
"GMM","AG","HMC","5","10","6","z[8]","r_hat","1.0322372697353308"
"GMM","AG","HMC","5","10","6","z[9]","ess","44.89608630054657"
"GMM","AG","HMC","5","10","6","z[9]","r_hat","1.0298921589337682"
"GMM","AG","HMC","5","10","6","z[10]","ess","42.168212208425714"
"GMM","AG","HMC","5","10","6","z[10]","r_hat","1.0317922525149061"
"GMM","AG","HMC","5","10","6","μ[1]","ess","47.866305287314276"
"GMM","AG","HMC","5","10","6","μ[1]","r_hat","1.0287993819970556"
"GMM","AG","HMC","5","10","6","μ[2]","ess","60.07514949804357"
"GMM","AG","HMC","5","10","6","μ[2]","r_hat","1.017803323515012"
"GMM","AG","HMC","5","10","3","w[1]","ess","21.023568568208656"
"GMM","AG","HMC","5","10","3","w[1]","r_hat","1.0305273138096012"
"GMM","AG","HMC","5","10","3","w[2]","ess","21.023568568208653"
"GMM","AG","HMC","5","10","3","w[2]","r_hat","1.0305273138096012"
"GMM","AG","HMC","5","10","3","z[1]","ess","22.539391660573358"
"GMM","AG","HMC","5","10","3","z[1]","r_hat","1.023592580258534"
