model,discrete_algorithm,continuous_algorithm,particles,data_size,repetition,parameter,step,value
GMM,PG,MH,5,10,3,z[8],1,2.0
GMM,PG,MH,5,10,3,z[9],1,2.0
GMM,PG,MH,5,10,3,z[10],1,2.0
GMM,PG,MH,5,10,3,μ[1],1,-3.1854320718090943
GMM,PG,MH,5,10,3,μ[2],1,-4.752065541037658
GMM,PG,MH,5,10,3,w[1],2,0.9188615969710185
GMM,PG,MH,5,10,3,w[2],2,0.08113840302898145
GMM,PG,MH,5,10,3,z[1],2,1.0
GMM,PG,MH,5,10,3,z[2],2,1.0
GMM,PG,MH,5,10,3,z[3],2,1.0
GMM,PG,MH,5,10,3,z[4],2,1.0
GMM,PG,MH,5,10,3,z[5],2,1.0
GMM,PG,MH,5,10,3,z[6],2,2.0
GMM,PG,MH,5,10,3,z[7],2,1.0
GMM,PG,MH,5,10,3,z[8],2,1.0
GMM,PG,MH,5,10,3,z[9],2,1.0
GMM,PG,MH,5,10,3,z[10],2,1.0
GMM,PG,MH,5,10,3,μ[1],2,-3.1854320718090943
GMM,PG,MH,5,10,3,μ[2],2,-4.752065541037658
GMM,PG,MH,5,10,3,w[1],3,0.9188615969710185
GMM,PG,MH,5,10,3,w[2],3,0.08113840302898145
GMM,PG,MH,5,10,3,z[1],3,1.0
GMM,PG,MH,5,10,3,z[2],3,1.0
GMM,PG,MH,5,10,3,z[3],3,1.0
GMM,PG,MH,5,10,3,z[4],3,1.0
GMM,PG,MH,5,10,3,z[5],3,2.0
GMM,PG,MH,5,10,3,z[6],3,1.0
GMM,PG,MH,5,10,3,z[7],3,2.0
GMM,PG,MH,5,10,3,z[8],3,2.0
GMM,PG,MH,5,10,3,z[9],3,2.0
GMM,PG,MH,5,10,3,z[10],3,1.0
GMM,PG,MH,5,10,3,μ[1],3,-3.1854320718090943
GMM,PG,MH,5,10,3,μ[2],3,-4.752065541037658
GMM,PG,MH,5,10,3,w[1],4,0.9188615969710185
GMM,PG,MH,5,10,3,w[2],4,0.08113840302898145
GMM,PG,MH,5,10,3,z[1],4,1.0
GMM,PG,MH,5,10,3,z[2],4,1.0
GMM,PG,MH,5,10,3,z[3],4,2.0
GMM,PG,MH,5,10,3,z[4],4,1.0
GMM,PG,MH,5,10,3,z[5],4,1.0
GMM,PG,MH,5,10,3,z[6],4,1.0
GMM,PG,MH,5,10,3,z[7],4,1.0
GMM,PG,MH,5,10,3,z[8],4,2.0
GMM,PG,MH,5,10,3,z[9],4,1.0
GMM,PG,MH,5,10,3,z[10],4,1.0
GMM,PG,MH,5,10,3,μ[1],4,-3.1854320718090943
GMM,PG,MH,5,10,3,μ[2],4,-4.752065541037658
GMM,PG,MH,5,10,3,w[1],5,0.9188615969710185
GMM,PG,MH,5,10,3,w[2],5,0.08113840302898145
GMM,PG,MH,5,10,3,z[1],5,1.0
